LAD25CD,ITL325CD,ITL325NM,ITL225CD,ITL225NM,ITL125CD,ITL125NM
E06000001,TLC31,Hartlepool and Stockton-on-Tees,TLC3,Tees Valley,TLC,North East (England)
E06000002,TLC32,South Teesside,TLC3,Tees Valley,TLC,North East (England)
E06000003,TLC32,South Teesside,TLC3,Tees Valley,TLC,North East (England)
E06000004,TLC31,Hartlepool and Stockton-on-Tees,TLC3,Tees Valley,TLC,North East (England)
E06000005,TLC33,Darlington,TLC3,Tees Valley,TLC,North East (England)
E06000006,TLD71,East Merseyside,TLD7,Merseyside,TLD,North West (England)
E06000007,TLD61,Warrington,TLD6,Cheshire,TLD,North West (England)
E06000008,TLD41,Blackburn with Darwen,TLD4,Lancashire,TLD,North West (England)
E06000009,TLD42,Blackpool,TLD4,Lancashire,TLD,North West (England)
E06000010,TLE11,"Kingston upon Hull, City of",TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000011,TLE12,East Riding of Yorkshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000012,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000013,TLE13,North and North East Lincolnshire,TLE1,East Yorkshire and Northern Lincolnshire,TLE,Yorkshire and The Humber
E06000014,TLE21,York,TLE2,North Yorkshire,TLE,Yorkshire and The Humber
E06000015,TLF11,Derby,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E06000016,TLF21,Leicester,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E06000017,TLF22,Leicestershire CC and Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire",TLF,East Midlands (England)
E06000018,TLF14,Nottingham,TLF1,Derbyshire and Nottinghamshire,TLF,East Midlands (England)
E06000019,TLG11,"Herefordshire, County of",TLG1,"Herefordshire, Worcestershire and Warwickshire",TLG,West Midlands (England)
E06000020,TLG21,Telford and Wrekin,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E06000021,TLG23,Stoke-on-Trent,TLG2,Shropshire and Staffordshire,TLG,West Midlands (England)
E06000022,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
E06000023,TLK51,"Bristol, City of",TLK5,West of England,TLK,South West (England)
E06000024,TLK61,North Somerset,TLK6,"North Somerset, Somerset and Dorset",TLK,South West (England)
E06000025,TLK52,Bath & North East Somerset and South Gloucestershire,TLK5,West of England,TLK,South West (England)
E06000026,TLK41,Plymouth,TLK4,Devon,TLK,South West (England)
E06000027,TLK42,Torbay,TLK4,Devon,TLK,South West (England)
E06000030,TLK71,Swindon,TLK7,Gloucestershire and Wiltshire,TLK,South West (England)
E06000031,TLH41,Peterborough,TLH4,Cambridgeshire and Peterborough,TLH,East (England)
E06000032,TLH21,Luton,TLH2,Bedfordshire and Hertfordshire,TLH,East (England)
E06000033,TLH31,Southend-on-Sea,TLH3,Essex,TLH,East (England)
E06000034,TLH32,Thurrock,TLH3,Essex,TLH,East (England)
E06000035,TLJ41,Medway,TLJ4,Kent,TLJ,South East (England)
E06000036,TLJ15,Berkshire East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E06000037,TLJ16,Berkshire West,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E06000038,TLJ16,Berkshire West,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E06000039,TLJ15,Berkshire East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
E06000040,TLJ15,Berkshire East,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",TLJ,South East (England)
