COUNTRY_CODE,POSTAL_CODE,ESTIMATED_NUTS3,ESTIMATED_NUTS2,ESTIMATED_NUTS1,CONFIDENCE
AT,1012,AT130,AT13,AT1,high
AT,1017,AT130,AT13,AT1,high
AT,1034,AT130,AT13,AT1,high
AT,1062,AT130,AT13,AT1,high
AT,1089,AT130,AT13,AT1,high
AT,1126,AT130,AT13,AT1,high
AT,1169,AT130,AT13,AT1,high
AT,1234,AT130,AT13,AT1,high
AT,2021,AT125,AT12,AT1,high
AT,2131,AT125,AT12,AT1,high
AT,2234,AT126,AT12,AT1,high
AT,2455,AT127,AT12,AT1,high
AT,3065,AT123,AT12,AT1,high
AT,3082,AT123,AT12,AT1,low
AT,3411,AT126,AT12,AT1,high
AT,3412,AT126,AT12,AT1,high
AT,4299,AT313,AT31,AT3,high
AT,4543,AT314,AT31,AT3,high
AT,4657,AT312,AT31,AT3,medium
AT,4835,AT315,AT31,AT3,high
AT,5024,AT323,AT32,AT3,high
AT,5380,AT315,AT31,AT3,low
AT,5702,AT322,AT32,AT3,high
AT,6005,AT332,AT33,AT3,high
AT,6172,AT332,AT33,AT3,high
AT,6607,AT331,AT33,AT3,high
AT,6852,AT342,AT34,AT3,high
AT,6950,AT341,AT34,AT3,high
AT,7790,AT221,AT22,AT2,low
AT,8450,AT225,AT22,AT2,high
AT,9024,AT211,AT21,AT2,high
AT,9988,AT333,AT33,AT3,high
BE,1004,BE100,BE10,BE1,high
BE,1010,BE100,BE10,BE1,high
BE,1051,BE100,BE10,BE1,high
BE,1054,BE100,BE10,BE1,high
BE,1089,BE100,BE10,BE1,high
BE,1189,BE100,BE10,BE1,high
BE,1231,BE100,BE10,BE1,medium
BE,1234,BE100,BE10,BE1,medium
BE,1438,BE310,BE31,BE3,high
BE,1660,BE241,BE24,BE2,medium
BE,1712,BE241,BE24,BE2,medium
BE,1832,BE241,BE24,BE2,high
BE,1900,BE241,BE24,BE2,medium
BE,3030,BE242,BE24,BE2,low
BE,3101,BE242,BE24,BE2,medium
BE,3310,BE242,BE24,BE2,medium
BE,3347,BE242,BE24,BE2,medium
BE,3532,BE225,BE22,BE2,high
BE,4071,BE332,BE33,BE3,medium
BE,4368,BE334,BE33,BE3,high
BE,4551,BE331,BE33,BE3,high
BE,4911,BE335,BE33,BE3,high
BE,4937,BE336,BE33,BE3,low
BE,6340,BE32B,BE32,BE3,low
BE,7630,BE328,BE32,BE3,medium
BE,8687,BE252,BE25,BE2,high
BG,1004,BG411,BG41,BG4,high
BG,1024,BG411,BG41,BG4,medium
BG,1037,BG411,BG41,BG4,medium
BG,1040,BG411,BG41,BG4,medium
BG,1046,BG411,BG41,BG4,medium
BG,1051,BG411,BG41,BG4,medium
BG,1054,BG411,BG41,BG4,medium
BG,1057,BG411,BG41,BG4,medium
BG,1058,BG411,BG41,BG4,medium
BG,1080,BG411,BG41,BG4,medium
BG,1100,BG411,BG41,BG4,medium
BG,1110,BG411,BG41,BG4,high
BG,1121,BG411,BG41,BG4,high
BG,1125,BG411,BG41,BG4,high
BG,1166,BG411,BG41,BG4,high
BG,1179,BG411,BG41,BG4,high
BG,1200,BG411,BG41,BG4,high
BG,1203,BG411,BG41,BG4,high
BG,1301,BG411,BG41,BG4,high
BG,1304,BG411,BG41,BG4,high
BG,1329,BG411,BG41,BG4,high
BG,1334,BG411,BG41,BG4,high
BG,1337,BG411,BG41,BG4,high
BG,1343,BG411,BG41,BG4,high
BG,1370,BG411,BG41,BG4,high
BG,1410,BG411,BG41,BG4,high
BG,1414,BG411,BG41,BG4,high
BG,1422,BG411,BG41,BG4,high
BG,1430,BG411,BG41,BG4,high
BG,1472,BG411,BG41,BG4,high
BG,1507,BG411,BG41,BG4,high
BG,1509,BG411,BG41,BG4,high
BG,1524,BG411,BG41,BG4,high
BG,1570,BG411,BG41,BG4,high
BG,1573,BG411,BG41,BG4,high
BG,1584,BG411,BG41,BG4,high
BG,1593,BG411,BG41,BG4,high
BG,1608,BG411,BG41,BG4,high
BG,1610,BG411,BG41,BG4,high
BG,1621,BG411,BG41,BG4,medium
BG,1635,BG411,BG41,BG4,high
BG,1640,BG411,BG41,BG4,high
BG,1664,BG411,BG41,BG4,medium
BG,1704,BG411,BG41,BG4,high
BG,1710,BG411,BG41,BG4,high
BG,1718,BG411,BG41,BG4,high
BG,1722,BG411,BG41,BG4,high
BG,1724,BG411,BG41,BG4,high
BG,1734,BG411,BG41,BG4,high
BG,1737,BG411,BG41,BG4,high
BG,1738,BG411,BG41,BG4,high
BG,1781,BG411,BG41,BG4,high
BG,1785,BG411,BG41,BG4,high
BG,1816,BG411,BG41,BG4,medium
BG,1835,BG411,BG41,BG4,high
BG,3082,BG313,BG31,BG3,medium
BG,3290,BG313,BG31,BG3,low
BG,3404,BG312,BG31,BG3,high
BG,3703,BG311,BG31,BG3,high
BG,3846,BG311,BG31,BG3,high
BG,4005,BG421,BG42,BG4,high
BG,6327,BG422,BG42,BG4,low
BG,7017,BG323,BG32,BG3,high
BG,7367,BG324,BG32,BG3,low
BG,8003,BG341,BG34,BG3,high
BG,8081,BG341,BG34,BG3,medium
BG,9001,BG331,BG33,BG3,high
BG,9004,BG331,BG33,BG3,high
BG,9026,BG331,BG33,BG3,high
BG,9130,BG331,BG33,BG3,high
BG,9703,BG333,BG33,BG3,high
BG,9712,BG333,BG33,BG3,high
CH,2003,CH024,CH02,CH0,high
CH,4012,CH031,CH03,CH0,high
CH,6304,CH066,CH06,CH0,high
CY,0090,CY000,CY00,CY0,low
CY,1068,CY000,CY00,CY0,high
CY,1171,CY000,CY00,CY0,medium
CY,1234,CY000,CY00,CY0,low
CY,1300,CY000,CY00,CY0,medium
CY,1303,CY000,CY00,CY0,medium
CY,1304,CY000,CY00,CY0,medium
CY,1306,CY000,CY00,CY0,medium
CY,1307,CY000,CY00,CY0,medium
CY,1308,CY000,CY00,CY0,medium
CY,1309,CY000,CY00,CY0,medium
CY,1310,CY000,CY00,CY0,medium
CY,1311,CY000,CY00,CY0,medium
CY,1332,CY000,CY00,CY0,medium
CY,1390,CY000,CY00,CY0,medium
CY,1412,CY000,CY00,CY0,medium
CY,1417,CY000,CY00,CY0,medium
CY,1434,CY000,CY00,CY0,medium
CY,1452,CY000,CY00,CY0,medium
CY,1453,CY000,CY00,CY0,medium
CY,1461,CY000,CY00,CY0,medium
CY,1463,CY000,CY00,CY0,medium
CY,1473,CY000,CY00,CY0,medium
CY,1474,CY000,CY00,CY0,medium
CY,1478,CY000,CY00,CY0,medium
CY,1480,CY000,CY00,CY0,medium
CY,1496,CY000,CY00,CY0,medium
CY,1501,CY000,CY00,CY0,high
CY,1502,CY000,CY00,CY0,high
CY,1503,CY000,CY00,CY0,high
CY,1508,CY000,CY00,CY0,high
CY,1509,CY000,CY00,CY0,high
CY,1510,CY000,CY00,CY0,high
CY,1513,CY000,CY00,CY0,high
CY,1515,CY000,CY00,CY0,high
CY,1516,CY000,CY00,CY0,high
CY,1517,CY000,CY00,CY0,high
CY,1519,CY000,CY00,CY0,high
CY,1520,CY000,CY00,CY0,medium
CY,1521,CY000,CY00,CY0,medium
CY,1524,CY000,CY00,CY0,medium
CY,1605,CY000,CY00,CY0,medium
CY,1621,CY000,CY00,CY0,medium
CY,1643,CY000,CY00,CY0,medium
CY,1663,CY000,CY00,CY0,high
CY,1665,CY000,CY00,CY0,high
CY,1678,CY000,CY00,CY0,medium
CY,1679,CY000,CY00,CY0,medium
CY,1681,CY000,CY00,CY0,medium
CY,1682,CY000,CY00,CY0,medium
CY,1683,CY000,CY00,CY0,medium
CY,1684,CY000,CY00,CY0,medium
CY,1685,CY000,CY00,CY0,medium
CY,1686,CY000,CY00,CY0,medium
CY,1687,CY000,CY00,CY0,medium
CY,1700,CY000,CY00,CY0,low
CY,1702,CY000,CY00,CY0,low
CY,1703,CY000,CY00,CY0,low
CY,1704,CY000,CY00,CY0,low
CY,2022,CY000,CY00,CY0,high
CY,2072,CY000,CY00,CY0,medium
CY,2082,CY000,CY00,CY0,medium
CY,2083,CY000,CY00,CY0,medium
CY,2084,CY000,CY00,CY0,medium
CY,2085,CY000,CY00,CY0,medium
CY,2086,CY000,CY00,CY0,medium
CY,2090,CY000,CY00,CY0,high
CY,2094,CY000,CY00,CY0,high
CY,2150,CY000,CY00,CY0,medium
CY,2151,CY000,CY00,CY0,medium
CY,2152,CY000,CY00,CY0,medium
CY,2154,CY000,CY00,CY0,medium
CY,2208,CY000,CY00,CY0,high
CY,2214,CY000,CY00,CY0,medium
CY,2250,CY000,CY00,CY0,high
CY,2252,CY000,CY00,CY0,high
CY,2340,CY000,CY00,CY0,medium
CY,2341,CY000,CY00,CY0,medium
CY,2345,CY000,CY00,CY0,medium
CY,2430,CY000,CY00,CY0,medium
CY,2432,CY000,CY00,CY0,medium
CY,2433,CY000,CY00,CY0,medium
CY,2434,CY000,CY00,CY0,medium
CY,2456,CY000,CY00,CY0,high
CY,2545,CY000,CY00,CY0,high
CY,2550,CY000,CY00,CY0,medium
CY,3000,CY000,CY00,CY0,medium
CY,3044,CY000,CY00,CY0,high
CY,3055,CY000,CY00,CY0,high
CY,3300,CY000,CY00,CY0,medium
CY,3302,CY000,CY00,CY0,medium
CY,3304,CY000,CY00,CY0,medium
CY,3306,CY000,CY00,CY0,medium
CY,3307,CY000,CY00,CY0,medium
CY,3308,CY000,CY00,CY0,medium
CY,3309,CY000,CY00,CY0,medium
CY,3312,CY000,CY00,CY0,high
CY,3315,CY000,CY00,CY0,high
CY,3317,CY000,CY00,CY0,high
CY,3318,CY000,CY00,CY0,high
CY,3500,CY000,CY00,CY0,high
CY,3502,CY000,CY00,CY0,high
CY,3504,CY000,CY00,CY0,high
CY,3509,CY000,CY00,CY0,high
CY,3600,CY000,CY00,CY0,high
CY,3602,CY000,CY00,CY0,high
CY,3606,CY000,CY00,CY0,high
CY,3610,CY000,CY00,CY0,medium
CY,3721,CY000,CY00,CY0,high
CY,3723,CY000,CY00,CY0,high
CY,3734,CY000,CY00,CY0,high
CY,3781,CY000,CY00,CY0,medium
CY,3801,CY000,CY00,CY0,low
CY,3820,CY000,CY00,CY0,low
CY,4010,CY000,CY00,CY0,medium
CY,4013,CY000,CY00,CY0,medium
CY,4060,CY000,CY00,CY0,high
CY,4061,CY000,CY00,CY0,high
CY,4161,CY000,CY00,CY0,medium
CY,4414,CY000,CY00,CY0,low
CY,4641,CY000,CY00,CY0,high
CY,5000,CY000,CY00,CY0,medium
CY,5306,CY000,CY00,CY0,medium
CY,5310,CY000,CY00,CY0,medium
CY,5315,CY000,CY00,CY0,medium
CY,5318,CY000,CY00,CY0,medium
CY,5326,CY000,CY00,CY0,high
CY,5340,CY000,CY00,CY0,medium
CY,5341,CY000,CY00,CY0,medium
CY,5343,CY000,CY00,CY0,medium
CY,5344,CY000,CY00,CY0,medium
CY,5346,CY000,CY00,CY0,medium
CY,5385,CY000,CY00,CY0,high
CY,5386,CY000,CY00,CY0,high
CY,5515,CY000,CY00,CY0,high
CY,5533,CY000,CY00,CY0,medium
CY,6033,CY000,CY00,CY0,high
CY,6300,CY000,CY00,CY0,medium
CY,6301,CY000,CY00,CY0,medium
CY,6302,CY000,CY00,CY0,medium
CY,6304,CY000,CY00,CY0,medium
CY,6306,CY000,CY00,CY0,medium
CY,6307,CY000,CY00,CY0,medium
CY,6308,CY000,CY00,CY0,medium
CY,6500,CY000,CY00,CY0,medium
CY,6502,CY000,CY00,CY0,medium
CY,6531,CY000,CY00,CY0,medium
CY,6532,CY000,CY00,CY0,medium
CY,6533,CY000,CY00,CY0,medium
CY,7110,CY000,CY00,CY0,high
CY,7525,CY000,CY00,CY0,high
CY,7705,CY000,CY00,CY0,high
CY,8000,CY000,CY00,CY0,medium
CY,8034,CY000,CY00,CY0,high
CY,8060,CY000,CY00,CY0,high
CY,8061,CY000,CY00,CY0,high
CY,8062,CY000,CY00,CY0,high
CY,8063,CY000,CY00,CY0,high
CY,8064,CY000,CY00,CY0,high
CY,8069,CY000,CY00,CY0,high
CY,8070,CY000,CY00,CY0,medium
CY,8071,CY000,CY00,CY0,medium
CY,8099,CY000,CY00,CY0,medium
CY,8100,CY000,CY00,CY0,low
CY,8101,CY000,CY00,CY0,low
CY,8102,CY000,CY00,CY0,low
CY,8107,CY000,CY00,CY0,low
CY,8120,CY000,CY00,CY0,low
CY,8132,CY000,CY00,CY0,low
CY,8210,CY000,CY00,CY0,medium
CY,8591,CY000,CY00,CY0,medium
CY,8830,CY000,CY00,CY0,high
CY,1640,CY000,CY00,CY0,medium
CY,3728,CY000,CY00,CY0,high
CZ,10005,CZ010,CZ01,CZ0,high
CZ,10031,CZ010,CZ01,CZ0,high
CZ,10034,CZ010,CZ01,CZ0,high
CZ,10099,CZ010,CZ01,CZ0,high
CZ,10042,CZ010,CZ01,CZ0,high
CZ,10138,CZ010,CZ01,CZ0,high
CZ,10227,CZ010,CZ01,CZ0,high
CZ,10231,CZ010,CZ01,CZ0,high
CZ,10245,CZ010,CZ01,CZ0,high
CZ,10617,CZ010,CZ01,CZ0,high
CZ,11001,CZ010,CZ01,CZ0,high
CZ,11010,CZ010,CZ01,CZ0,high
CZ,11015,CZ010,CZ01,CZ0,high
CZ,11100,CZ010,CZ01,CZ0,high
CZ,11121,CZ010,CZ01,CZ0,high
CZ,11135,CZ010,CZ01,CZ0,high
CZ,11230,CZ010,CZ01,CZ0,medium
CZ,11231,CZ010,CZ01,CZ0,medium
CZ,11360,CZ010,CZ01,CZ0,medium
CZ,11530,CZ010,CZ01,CZ0,medium
CZ,11572,CZ010,CZ01,CZ0,medium
CZ,11555,CZ010,CZ01,CZ0,medium
CZ,11579,CZ010,CZ01,CZ0,medium
CZ,11636,CZ010,CZ01,CZ0,medium
CZ,11647,CZ010,CZ01,CZ0,medium
CZ,11668,CZ010,CZ01,CZ0,medium
CZ,11693,CZ010,CZ01,CZ0,medium
CZ,11628,CZ010,CZ01,CZ0,medium
CZ,11639,CZ010,CZ01,CZ0,medium
CZ,11720,CZ010,CZ01,CZ0,medium
